,LOC,ZC,CITY,LAT,LONG,num_calls,SPLIT_CITY,STATE
257,Club/Bar/Restaurant,11372,JACKSON HEIGHTS,40.75006808,-73.88119355,65,QUEENS,NY
258,Club/Bar/Restaurant,10016,NEW YORK,40.74258786,-73.98041167,98,MANHATTAN,NY
259,Club/Bar/Restaurant,10032,NEW YORK,40.84145055,-73.93577346,21,MANHATTAN,NY
260,Club/Bar/Restaurant,11234,,40.62526616,-73.92756266,20,BROOKLYN,NY
261,Club/Bar/Restaurant,11103,ASTORIA,40.76045412,-73.91527612,177,QUEENS,NY
262,Club/Bar/Restaurant,10312,STATEN ISLAND,40.54195147,-74.17742807,51,STATEN ISLAND,NY
263,Club/Bar/Restaurant,11222,,40.73349828,-73.95481369,12,BROOKLYN,NY
264,Club/Bar/Restaurant,11211,,40.71495071,-73.95175288,,BROOKLYN,NY
265,Club/Bar/Restaurant,10031,NEW YORK,40.82415421,-73.9483821,24,MANHATTAN,NY
266,Club/Bar/Restaurant,11423,HOLLIS,40.70872939,-73.77898909,161,QUEENS,NY
267,Club/Bar/Restaurant,10002,NEW YORK,40.71817453,-73.99037175,12,MANHATTAN,NY
268,Club/Bar/Restaurant,11105,ASTORIA,40.77480809,-73.91028259,10,QUEENS,NY
269,Club/Bar/Restaurant,11101,LONG ISLAND CITY,40.75413091,-73.949068,12,QUEENS,NY
270,Club/Bar/Restaurant,11103,ASTORIA,40.76494318,-73.91720536,244,QUEENS,NY
271,Club/Bar/Restaurant,10001,NEW YORK,40.74586649,-73.99204952,10,MANHATTAN,NY
272,Club/Bar/Restaurant,11211,,40.71395678,-73.95793275,15,BROOKLYN,NY
273,Club/Bar/Restaurant,11694,ROCKAWAY PARK,40.58073897,-73.83395295,44,QUEENS,NY
274,Club/Bar/Restaurant,11211,,40.71144313,-73.94609232,83,BROOKLYN,NY
275,Club/Bar/Restaurant,10304,STATEN ISLAND,40.62637037,-74.07545381,14,STATEN ISLAND,NY
276,Club/Bar/Restaurant,11201,,40.70251036,-73.99306814,12,BROOKLYN,NY
277,Club/Bar/Restaurant,10021,NEW YORK,40.77116239,-73.9566294,35,MANHATTAN,NY
278,Club/Bar/Restaurant,11249,,40.7147337,-73.96677363,12,BROOKLYN,NY
279,Club/Bar/Restaurant,11101,LONG ISLAND CITY,40.75444761,-73.93013645,121,QUEENS,NY
280,Club/Bar/Restaurant,10016,NEW YORK,40.74135013,-73.98131059,18,MANHATTAN,NY
